2021-12-20 22:07:47.254 | INFO     | Case.conftest:init:15 - =========================开始执行测试项目=========================
2021-12-20 22:07:47.257 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行login_01管理员登录成功测试用例***********************
2021-12-20 22:07:47.257 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:07:47.258 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'login_01', 'title': '管理员登录成功', 'url': 'member/login', 'method': 'POST', 'request_data': '{"mobile_phone": "15253084572", "pwd": "12345678"}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': '{"admin_member_id": "$..id", "admin_token": "$..token"}'}
2021-12-20 22:07:47.258 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:07:47.258 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:07:47.258 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:07:47.258 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/member/login
2021-12-20 22:07:47.258 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'mobile_phone': '15253084572', 'pwd': '12345678'}
2021-12-20 22:07:47.366 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:07:47.367 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:07:47.367 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
2021-12-20 22:07:47.367 | INFO     | Case.test_invest:test_loan_audit:75 - 响应结果为:{'code': 1001, 'msg': '账号信息错误', 'data': None, 'copyright': 'Copyright 柠檬班 © 2017-2019 湖南省零檬信息技术有限公司 All Rights Reserved'}
2021-12-20 22:07:47.367 | INFO     | Case.test_invest:test_loan_audit:82 - 断言失败
2021-12-20 22:07:52.457 | INFO     | Case.test_invest:test_loan_audit:56 - ***********************开始执行login_01管理员登录成功测试用例***********************
2021-12-20 22:07:52.457 | INFO     | Case.test_invest:step_1:36 - 步骤1 ==>> 管理员审核项目
2021-12-20 22:07:52.458 | INFO     | Common.replace_data:replace_case_by_regular:75 - 正则表达式替换完成之后的请求数据为{'id': 'login_01', 'title': '管理员登录成功', 'url': 'member/login', 'method': 'POST', 'request_data': '{"mobile_phone": "15253084572", "pwd": "12345678"}', 'expect': '{"code": 0, "msg": "OK"}', 'expre_data': '{"admin_member_id": "$..id", "admin_token": "$..token"}'}
2021-12-20 22:07:52.458 | INFO     | Common.replace_data:replace_case_by_regular:76 - 环境变量为:{'__module__': 'Common.replace_data', '__dict__': <attribute '__dict__' of 'EnvData' objects>, '__weakref__': <attribute '__weakref__' of 'EnvData' objects>, '__doc__': None}
2021-12-20 22:07:52.458 | INFO     | Common.handle_request:send_request:32 - 开始发起请求：
2021-12-20 22:07:52.458 | INFO     | Common.handle_request:send_request:33 - 请求头为:{'X-Lemonban-Media-Type': 'lemonban.v2'}
2021-12-20 22:07:52.458 | INFO     | Common.handle_request:send_request:34 - 请求地址为:http://api.lemonban.com/futureloan/member/login
2021-12-20 22:07:52.459 | INFO     | Common.handle_request:send_request:35 - 请求数据为:{'mobile_phone': '15253084572', 'pwd': '12345678'}
2021-12-20 22:07:52.554 | INFO     | Common.handle_request:send_request:78 - 响应数据为200
2021-12-20 22:07:52.554 | INFO     | Case.test_invest:test_loan_audit:72 - 该用例没有expre_data字段
2021-12-20 22:07:52.555 | INFO     | Case.test_invest:test_loan_audit:74 - 期望结果为{'code': 0, 'msg': 'OK'}
